-able	可;易
ejaculate	内射;口射;口爆;射精;排精;秒射;颜射
ejaculation	射出;射精;早泄;潮吹;精尽人亡
ejaculatory	射精管
eject	弹出;弹射;退片
ejection	太空舱;弹射座椅;弹射座舱
ejen	伊金霍洛;伊金霍洛旗
ejin	伊金霍洛;伊金霍洛旗;额济纳;额济纳旗;额济纳河;黑水城
ekaterina	叶卡捷琳娜
ekaterinburg	叶卡捷琳堡
eke	拾荒;求存;维持生活;讨生活
ekin	郑伊健
el	世界报;厄尔尼诺;厄尔尼诺现象;反圣婴;圣婴;圣萨尔瓦多;埃尔帕索;拉尼娜;科朗;萨尔瓦多;阿莱曼
el-sheikh	沙姆沙伊赫
elaborate	不题;分述;勾心斗角;发挥;委曲;敷演;敷衍;牵羊担酒;琼筵;精巧;繁征博引;繁文;繁文缛节;繁缛;细化;花式;铺陈;阐述;雕琢;项庄舞剑;项庄舞剑，意在沛公
elaborately	精装
elaborating	语焉不详
elachura	丽星鹩鹛
elanus	黑翅鸢
elaphe	三索锦蛇;大王蛇;王锦蛇
elaphurus	四不像;麋鹿
elapse	推移;流逝;逝去
elastane	氨纶
elastic	弹;弹力;弹性形变;松紧带
elasticity	弹力;弹性;弹性模量
elata	天麻
elated	心花怒放;快意;昂扬;欢欣;欢欣雀跃;欢欣鼓舞;美滋滋;飘飘然;鳌抃
elaterium	喷瓜
elbaradei	巴拉迪
elbe	易北河
elbow	弯管面;手肘;护肘;掣肘;旋前肌;曲池穴;烟管面;肘;肘击;肘子;肘腋;胳膊肘;胳膊肘朝外拐;胳臂肘儿
elbowing	横冲直撞
elbows	捉襟见肘
elbrus	厄尔布鲁士
elder	世母;伯;伯伯;伯母;伯父;伯邑考;兄;兄嫂;兄长;哥;夏敬渠;大伯子;大妈;大姐;大嫂;姒;姨姐;媭;家兄;尊亲属;手谕;接骨木;族长;昆;昆仲;晜;父兄;老兄;胞兄;胞姐;芨;见背;道高益安，势高益危;野叟曝言;长;长老;长者;阿兄;阿哥
elder-accessible	适老化
elderberry	接骨木
elderly	上有老下有小;中老年人;做寿;健在;养老;大妈;奉养;嬷嬷;安养;寿星;师太;弃养;扶老携幼;护老者;拜寿;收养;敬老;母;白托;祝寿;绕膝;翁;老人;老伴;老大妈;老太太;老太爷;老年;老年人;老朽;老母;老爷子;老爷爷;老生;老者;老衲;耇;艾老;迈;适老化;遗老;银发族;阿公;阿嬷;高龄;黄昏恋
elders	上辈;不听老人言，吃亏在眼前;以下犯上;供养;孝敬;尊长;小子;晚生;父老;省;遗训;避讳;长辈;顶撞
eldest	不分伯仲;伯;伯仲叔季;伯邑考;冢;夏洛特·勃良特;大;大叔;大哥;大姨;大姨妈;大小姐;嫡子;孟;承重孙;最年长;术赤;李建成;李显龙;老大;胄子;金正男;长兄;长女;长子;长孙;长男
eldii	坡鹿
eldrick	泰格·伍兹;老虎伍兹
eleazar	以利亚撒;马但
elec	分相;势降;单向电流;单相;导电性;感应;感应器;接线盒;接触不良;调制波
elect	举;推;推举;推定;推选;评为;选;选举;选出
elected	候任;公推;应选;当选;新任;新选;民选;海选;膺选;落选;被选举权;选入
election	一轮;中期选举;买票;二轮;公举;出马;初选;助选;参选;参选人;后援会;多党选举;大获全胜;大选;差额选举;应选;总统大选;总统选举;投票率;暗箱操作;桩脚;海选;直接选举;直选;票仓;竞选;竞选副手;竞选搭档;竞选活动;第一轮;第二轮;等额选举;绑桩;胜出;胜选;落选;被选举权;败战;败选;贿选;退选;选举;选举委员会;选举法庭;选情;选战;重点;铁票区;间接选举;预选
elections	届;海选;穆萨维;立委选举;邓亮洪;铁票;静山
elective	退选;选修
elector	选举人
electoral	选举人团;选举团;选区;静山
electorate	选民
electra	恋父情结
electric	两极;代步车;伴热;充电桩;充电站;削铅笔机;功耗;助力车;回路;地热发电厂;地热电站;家用电器;家电;小电驴;并激;库仑;强流;快煮壶;手电筒;挡位;接地;插口;搭铁;支光;整流器;断开;有电;松下公司;松下电器;核电荷数;汽轮发电机;滤波;灯头;烤电;热得快;特斯拉;电;电位;电击;电力机车;电功率;电动机;电动牙刷;电动葫芦;电动车;电厂;电吉他;电场;电子器件;电子表;电弧;电弧焊;电扇;电控;电杆;电椅;电死;电气;电池;电波;电流;电源;电源插座;电灌站;电火花;电灯;电炉;电烙铁;电热壶;电热毯;电焊;电照明;电磨;电线杆;电缆;电缆塔;电荷;电荷耦合;电荷量;电蚊拍;电蚊香;电贝斯;电路;电车;电量;电钢琴;电钮;电钻;电铃;电锅;电键;电锯;电门;电闸;电震;电风扇;电饭煲;电饭锅;电马儿;电驴;电鳐;电鳗;绕组;触电;负电;赛力斯;逆变;通用电器;通用电气;通电;闸;闸盒;阳;阳电;阳电荷;阴;阴电;集电杆;风扇;飞线;飞线充电
electric-powered	电动
electrical	保险丝;关上;吴邦国;国美电器;安定器;导线;引线;得气;接点;插线板;插销;放电;极性;水电工;汇流环;法拉;浪涌;滑环;火线;电信号;电力;电器;电子环保亭;电学;电导;电导率;电工;电抗器;电机;电机及电子学工程师联合会;电气;电气化;电气工程;电热;电能;电阻;磁通门;绝缘体;继电器;苏宁电器;跑电;连线;镇流器;阻值;阻抗;黄光裕
electrically	不带电;带电粒子
electrician	电工
electricity	串联;交变电流;传;传导;供电;反用换流器;发电;发电机;国家电力监管委员会;多功能表;定子;导体;导电;市电;开路;截止;换向;有电;来电;桥式整流器;正电;水电;法拉第;漏电;电;电价;电光;电刑;电力;电塔;电导体;电气;电瓶;电网;电老虎;电荒;省电;空载;线路;绝缘;耗电;节电;转子;输电;通电;限流;静电;非导体
electrification	电气化
electrified	带电;有电;电网
electrify	通电
electrifying	劲爆;带感
electro-acoustic	拾音器
electro-magnetic	核电磁脉冲
electro-weak	弱电统一
electrocardiogram	心电图
electrochemistry	电化学
electrocute	电死
electrocution	电刑
electrode	基极;正极;电极;阳极;阳电极;阴极
electrodynamics	电动力学;量子电动力学
electroencephalogram	脑电图;自发电位
electrolux	伊莱克斯
electrolysis	电解
electrolyte	电解液;电解质
electrolytic	电解;电解电容
electromagnet	电磁铁
electromagnetic	抽头;电磁兼容性;电磁力;电磁噪声;电磁场;电磁干扰;电磁感应;电磁振荡;电磁波;电磁理论;电磁相互作用;电磁脉冲;赫兹;麦克斯韦
electromagnetism	电磁;电磁学;电磁理论;磁链;麦克斯韦
electromechanical	机电
electromotive	电动势
electromyogram	肌电图
electron	乙种射线;乙种粒子;价电子;兆电子伏;吉电子伏;回描;构型;正电子;电子;电子云;电子伏;电子层;电子层数;电子显微镜;电洞;空穴;聚焦
electronegativity	电负性
electronic	八达通;八达通卡;发射机应答器;变砖;复位;官翻;异频雷达收发机;待机;插进;救砖;文曲星;日电;日电电子;水客;测距仪;电传;电子;电子书;电子工程;电子手帐;电子数据交换;电子文件;电子版;电子环保亭;电子琴;电子眼;电子科技大学;电子稳定程序;电子网络;电子脚镣;电子舞曲;电子表;电子计算机;电子词典;电子货币;电控;电机及电子学工程师联合会;电纸书;电音;程控交换机;管座;续航;翻动;联机;速调管;锁存器;门禁卡;阅读装置;飞行模式
electronically	手机条码
electronics	3C;H桥;三星;三洋;与门;东芝;中关村;传感;偏压;偏置;偏置电流;偏置电阻;光耦合器;光隔离器;全桥;共模;共模抑制比;分流电路;半导瓷;半桥;单端;卡槽;反相器;变阻器;可控硅;国美;均衡器;埋孔;基带;增益;外差;多晶硅;小米;嵌入式;建立时间;引线框架;或门;排母;排针;数字;时延;晶闸管;杂讯;松下电气工业;栅门;欧姆龙;母线;波导;涡流;烧写器;烧屏;焊点;焊盘;爱普生;理光;瑞萨;电子业;电子学;电子学系;电子工业;电子管;电荷耦合器件;电驿;百万赫兹;盲孔;秋叶原;端子;等化器;类比;精密陶瓷;精工;背光;背光屏;英飞凌;行波管;解耦;触发器;调变;贴片式;跨接器;过孔;雾面屏;静态;音圈;飞线;马可尼
electrons	价电子;散束;正负电子;电子束;阳电极;阴极
electronvolt	电子伏特
electrooculograph	眼电图
electrophoresis	电泳
electroplate	电镀
electroscope	验电器
electroshock	泰瑟;泰瑟枪;电震
electrostatic	吸力;相吸;相斥;起电机
electrostatics	斥力
electrotherapy	电疗
elegance	斐;款式;绝代佳人;腔调;雅气;风度;高雅
elegans	凤头雀莺;琉球角鸮;钩吻;黄喉鹀
elegant	不登大雅之堂;亭亭玉立;优美;俊俏;俊秀;俊雅;典雅;冠冕;凤眼;多彩多姿;娜;娴;娴雅;婀娜;帅;帅气;幽雅;彦;彧;彪焕;彬彬;文雅;新雅;款式;洒落;淡雅;清丽;清玩;清绮;清逸;清雅;玩器;珠圆玉润;瑰丽;矞;秀;秀美;窕;精美;素雅;美言;翩翩;脱洒;花言巧语;莲步;藻;袅袅婷婷;襢;锦心绣口;闲雅;隽妙;雅;雅丽;雅兴;雅号;雅士;雅歌;雅洁;雅淡;雅玩;雅相;雅称;雅致;雅观;雅趣;雅静;雅饬;韵事;风度;风采;风韵;飘洒;飘逸;高大上;高雅
elegantly	摇曳多姿;笔下生花
elegiac	千古;尚飨;挽幛;挽词;挽辞;挽额;祭文
elegy	哀歌;悲歌;挽歌;挽词;挽诗;挽辞;河殇;邙山行
element	不定元;主力军;价;余孽;元件;元素;刂;分页;加演;化学元素;单位元;单元;单质;因素;坏分子;垂悬结构;小作怡情，大作伤身;崮;带有;很;得心应手;微量;微量元素;忄;成分;插入因子;有限元;有限元法;有限单元;标签;滑块;环节;稀土元素;稀土金属;稀有元素;素;置入;衬托;谐声;质量数;轴心;轻元素;重元素;金;鈤;铺衬;附加元件;页签
elementary	中小学;中等师范学校;初小;初等;初等代数;初级小学;国小;国民小学;基本;基本粒子;基础教育;小三;小升初;小学;希格斯;浅析;粒子;粒子束;附小
elements	中西合璧;五常;仙侠;会意;会意字;俱全;元素周期表;冰火;几何原本;反动分子;右派分子;合体字;合而为一;周期表;四不像;四大皆空;恶势力;文创;文创商品;新文化运动;日晒雨淋;时空错置;杂处;杂糅;欧几里得;残渣余孽;清党;清查;牛鬼蛇神;胎体;解离;连贯;遮风避雨;銤;间隔号;风吹日晒;风雨;黑五类
elena	埃琳娜
eleocharis	荸荠;马蹄
elephant	人心不足蛇吞象;众盲摸象;合眼摸象;多瓣蒜;大笨象;大象;女神蛤;房间里的大象;摸象;盲人摸象;瞎子摸象;象;象拔蚌;象海豹;象牙;象草;象鼻山
elephant-headed	格涅沙
elephantiasis	象皮病
elephants	长鼻目
elert	波德
elettaria	白豆蔻;豆蔻
eleusine	牛筋草;蟋蟀草
elevate	升;抬举;提升;超拔
elevated	塄;塽;嶭;巴铁;擂台;栈道;眺望;荣任;跨海大桥;轩昂;轻型轨道交通;轻轨;高冷;高扬;高架;高架道路
elevation	仰角;拔海;标高;海拔;立面图;落差;高处;高度;高程
elevations	画法几何
elevator	升降机;吊车;坐电梯;天梯;客梯;无底坑;步登公寓;电梯;电梯井;货梯;轿厢;闭合
eleven	十一
eleventh	冬月;北齐书;十一月;周宣王;唐顺宗;明武宗;李诵;正德;甲戌
elf	仙童;小精灵;神仙;精灵
elf-like	拉布布
elgin	埃尔金;埃尔金大理石;额尔金
eliakim	亚所;以利亚敬
elicit	石沉大海;诱发
elict	一呼百应
eligible	合格;役男;海选;离休;钻石王老五
elijah	以利亚
eliminate	OK镜;三振;做掉;免掉;兔死狗烹;净尽;删汰;刷;削除;剿灭;去掉;打蛇不死，反受其害;打麻雀运动;扫除;择;排;排斥;排犹;排除;撤职;斩草除根;栉;汰;治愚;消元;消去;消弭;消愁解闷;消泯;消解;消除;涤除;淘汰;清除;激浊扬清;灭掉;灭除;甄汰;破除;破除迷信;端;筛;肃;肃反;芟;裁撤;解决;追剿;销铄;除;除净;除去;除尘;除掉;除暴;除根;革除
eliminated	出局;野火烧不尽，春风吹又生
eliminating	四谛;苦集灭道
elimination	劣汰;末位淘汰;消元;消除对妇女一切形式歧视公约
eliot	艾略特
elisae	绿背姬鹟
elision	吞音;省音
elite	伊顿公学;俊杰;公学;兵精粮足;劲卒;劲旅;王侯将相;精;精兵;精英;精锐;红机;老钱;菁英;阳春白雪
elixir	不死药;丹药;仙丹;仙方;八宝丹;瀛洲;灵丹妙药
elixirs	酏
elizabeth	伊丽莎白;伊莉莎白;伊莉萨白
elk	驼鹿
ellioti	白颈长尾雉
elliotii	橙翅噪鹛
elliott	艾略特
ellipse	卵圆;椭;椭圆
ellipsis	省略号
ellipsoid	参考椭球体;地理纬度;椭球
ellipsoidal	卵圆形
elliptic	椭圆;椭圆函数;椭圆曲线;椭圆积分;近日点;远日点
elliptical	椭圆机;滑步机
ellis	埃利斯岛
elm	榆;榆木;榆木疙瘩;榆树;榔榆;樠
elmwood	榆木
elocution	口条
elon	马斯克
elongata	曹白鱼;鲙鱼;鳓
elongated	海棠形
elongation	拔节期;距角
elongatus	鳤
elope	奔;私奔
elopichthys	鳡
eloquence	不佞;口才;口齿生香;辩才
eloquent	伶牙俐齿;出口成章;口若悬河;口齿伶俐;善言辞;善辩;油嘴;珠玑;能言善辩;舌灿莲花;言谈林薮;辩士;铁齿铜牙;雄辩
else	一切向钱看;不外乎;不然;不看僧面看佛面;东方不亮西方亮;串味;为上;交代;交由;亦步亦趋;人头;人家;从井救人;他人;仙气;代为;代人受过;代偿;代写;代办;代劳;代填;代罪;传递;余力;借刀杀人;借箸;假冒;假手;假手于人;假手他人;假托;假扮;其他;再不;再不然;出让;别人牵驴你拔橛子;别无他物;别的;包打天下;反求诸己;受过;另谋高就;吃别人嚼过的馍不香;吃饭皇帝大;同归于尽;否则;唯利是图;嘱托;在那儿;垫背;嫁祸;嫁祸于人;就;就着;异事;念诵;恩人;抬杠;抱不平;拼房;换取;换成;撞衫;改成;改换;旁若无人;无何;无关;无非;更加;有样学样;枪手;派生;目中无人;看错;眼岔;离家出走;租让;移情别恋;第二个人;脱胎;脸上贴金;腾出手;至上;要不;要不然;触霉头;说情;诿过;身在曹营心在汉;转交;转而;转送;还;顶名冒姓;顶罪;顺带;顺手;顺路;首映
elsewhere	他迁;别处;另觅新欢;套用;志不在此;流失;跳槽;转存;转载
elsholtria	葇
elsholtzia	香薷
elt	英语教学
eluanbi	鹅銮鼻
eluanpi	鹅銮鼻
elucidate	推阐;揭示;辨明;辩明;阐发;阐明
elucidation	起承转合;阐释
elude	支吾
eluid	以利亚撒;以律
elusive	捉摸不定;神出鬼没;谜团;难以捉摸
elusor	隐龟
elves	精灵文
elvis	埃尔维斯·普雷斯利;猫王
elvish	精灵文
elysium	极乐世界
elytrum	鞘翅
em	全身;德州扑克
emaciated	哀毁骨立;瘦伶仃;瘦巴巴;瘦骨伶仃;瘦骨嶙峋;癯;癯瘦;菜色;面黄肌瘦;骨瘦如柴;骨立
emaciation	解㑊
email	伊妹儿;信函;发件人;回覆;密送;抄送;收件人;收件匣;来自;查收;电子邮件;电子邮箱;电邮;电邮地址;答复;转寄;通信;邮件;邮箱;附件
emanate	发祥
emanating	圆光
emanation	发射;𬘡
emancipate	翻身;解;解放
emancipation	四谛;苦集灭道
emancipator	救星
emanuel	以马内利;伊曼纽尔
emasculate	阉割
embanked	悬河
embankment	剅;土埂;坝;坟;垚;埒;埝;堤岸;堤防;塘;壝;田坎;田埂;路堤;防潮堤;驳岸
embargo	武器禁运;禁运;解除
embark	乘船;成行;粉墨登场;误上贼船
embarrass	将军;恶心;撅;现眼;自取其辱;过不去
embarrassed	下不了台;下不来;不好意思;不知所措;为难;发窘;受窘;坐蜡;害羞;尴尬;拍谢;没脸;犯难;磨不开;窘;窘迫;羞赧;讪讪;赧然;迫;难为情;难以启齿;难堪
embarrassing	不好意思;丑媳妇早晚要见公婆;出糗;可蠢;台阶;哭笑不得;好看;尬;拿不出手;搭讪;没趣;碍口;碍难;糗;老底;解嘲;那个;隐秘难言;难言之隐;鞭尸
embarrassingly	囊中羞涩;闹太套
embarrassment	发窘;囧;困窘;奇耻大辱;扭扭捏捏;扭捏;汗;涨红;碍口识羞;碍难从命;社死;糗;结舌;给脸;解围;遮羞;面有难色
embassy	使领馆;公使馆;大使馆;馆
embed	包埋;嵌;嵌入;置入;镶;镶嵌
embedded	内飞地;嵌入式;嵌进;折戟沉沙
embedding	嵌进
embellish	修;润;润饰;添油加醋;渲染;缀;装点门面;附会
embellished	花拳绣腿
embellishing	碎钻
embellishment	美化;锦上添花
embellishments	天花乱坠
ember	余烬;火星子;火炭
emberiza	三道眉草鹀;凤头鹀;圃鹀;声鹀;小鹀;戈氏岩鹀;栗斑腹鹀;栗耳鹀;栗鹀;淡灰眉岩鹀;灰头鹀;灰颈鹀;灰鹀;田鹀;白头鹀;白眉鹀;白顶鹀;硫黄鹀;红颈苇鹀;苇鹀;蓝鹀;藏鹀;褐头鹀;鹀;黄喉鹀;黄眉鹀;黄胸鹀;黄鹀;黍鹀;黑头鹀
embers	擞
embezzle	中饱;侵吞;刻薄;吃空额;吃空饷;吞没;挪用;监守自盗;盗用;私吞;诈领;贪污
embezzlement	刘金宝
embittered	愤世嫉俗;愤恨;酸不溜丢
emblem	党徽;国徽;国徽法;国花;徽;徽标;徽章;臂章;航徽;象征;象征性;青天白日
emblica	余甘子
embodied	具身智能
embodiment	化身;实施例
embody	体现;具体到;包含
embolden	壮胆
embolism	栓塞;肺栓塞
embolus	栓子
emboss	压花;拷花
embossed	浮雕墙纸
embossing	凹凸印刷;凹凸轧花
embrace	包;包罗;囊括;心服;心服口服;怀抱;怀里;抱;拥;拥抱;揽;搂;搂住;搂抱;放情丘壑;环住;环抱;紧抱;蕴涵;追捧
embraced	侅
embracing	中国特色社会主义;环秀山庄
embrasure	枪眼
embroider	刺绣;绣;绣花
embroidered	抛绣球;綮;绣花鞋;绲;缠头;荷包;襮;锦;黼
embroidery	刺绣;刺绣品;团花;挑花;湘绣;空手;粤绣;纹绣;绣;绣花;绦子;绷;绷子;苏绣;蜀绣;金针;镶边;黹;黻
embryo	妚;怪胎;毛鸭蛋;胎儿;胚;胚囊;胚胎;雏凤;鸭仔蛋;黄体期
embryogenesis	胚胎发生
embryology	中胚层;内卷;内胚层;外胚层;神经管;胚层;胚胎学
embryonic	先天;单子叶;双子叶;木兰纲;间充质;雏形
emei	四大佛教名山;峨眉;峨眉山;峨眉柳莺;灰胸薮鹛
emeiensis	峨眉柳莺
emeiquan	峨嵋拳
emeishan	峨眉山市
emerald	祖母绿;绿翅金鸠;翠绿;翠金鹃
emerge	冒出来;冒头;出列;出现;出笼;出露;呈现;喷薄欲出;层出不穷;展现;崛起;应运而生;异军突起;抬头;来得;横空出世;泛起;浮出;浮沉;浮现;浮起;涌现;生发;百战百胜;破茧成蝶;破蛹;置之死地而后生;羽化;自生自灭;萌动;蹦出来;雨后春笋;鹿死谁手
emerged	塔利班
emergence	冬虫夏草;崛地而起;崛起;鬼探头
emergency	110;119;120;告急;周济;土牛;场区应急;场外应急;处警;太平门;安全掣;应急;应急待命;应急照射;急中生智;急刹车;急救;急救站;急智;急症;急诊;急诊室;急难;戒严;戒备;抢通;抢险;抢险救灾;挂急诊;援助机构;救急;救济;救济粮;施救;毓婷;火烧眉毛;燃眉之急;皇族内阁;突发事件;紧急;紧急事件;紧急医疗;紧急应变;紧急状态;紧急疏散;联邦紧急措施署;远水救不了近火;非常手段
emerges	春光乍泄;死宅
emerging	分蘖;初露头角;新兴;新兴产业;新生;无厘头;翻新;胚芽鞘
emeritus	名誉;荣誉教授
emersion	复明
emerson	爱默生
emery	砂轮;砣;砣子;金刚砂
emeryville	爱莫利维尔
emetic	催吐剂
emg	肌电图
emi	英中
emigrant	侨;华侨;移民
emigrate	润
emigrating	润学
emile	艾弥尔
emin	额敏县
eminent	俊;八大元老;八老;卓然;卓著;尊重;文宗;文豪;显要;炳著;荦;贵人多忘;达;闻名;隗;高不可攀;高位;鸾翔凤集
emir	埃米尔;酋长
emirate	酋长国
emirates	阿布扎比;阿布达比;阿拉伯联合大公国;阿拉伯联合酋长国;阿联酋;阿联酋航空;阿联酋长国
emishi	虾夷
emissary	使者;蛮邸
emission	发射;发射星云;射出;梦遗;正电子发射层析;正电子发射断层照相术;正电子照射断层摄影;遗精
emissions	净零;减排;减碳;尾气;碳减排;碳排放
emit	做声;冒;发光;发射;发热;发音;排放;散发;生光;起泡沫;鸣叫
emitted	乙种粒子
emitting	阴极
emma	爱玛;爱玛·沃特森
emmanuel	艾玛纽埃尔;马克宏;马克龙
emmanuelle	艾玛纽埃尔
emmentaler	埃曼塔;艾曼塔
emmy	艾美奖;诺特
emoji	绘文字
emolument	爵禄;鹤俸
emoluments	世禄之家
emoticon	囧;表情包;颜文字
emoticons	兔斯基
emotion	哽;哽咽;心动;心有灵犀一点通;情;情志;情感;感;感喟;感念;感怀;感情;慨;抒发;抒怀;抒情;攻心;油然而生;泛;浸润;浸淫;深情;激情;煽情;眼神;红晕;负向;轸;饱含
emotional	一块;七情;伤感;冷暴力;出气口;创痛;刻奇;发冷;咯噔;善感;多情;心锚;思绪;情勒;情商;情绪价值;情绪化;情绪商数;情绪智商;情绪状态;感性;感触;抚平;泪奔;澎湃;生活教育;直男癌;破防;逆鳞;郁结
emotionally	不忍心;修罗场;动容;哽噎;多愁善感;大小声;婵媛;小奶狗;巨婴;心动;心累;情感;感动;暖心;泪失禁;淋漓;激动;热辣辣;破防;神劳形瘁;累心;身心俱疲;钢铁直男;难分难舍;难舍难分;难舍难离;黏腻
emotionless	冰山美人;棒读
emotions	七情六欲;交集;人情;倾吐;倾吐衷肠;倾泄;别绪;动;压抑;发酵;受支配;吐气;喜怒哀乐;嬉笑怒骂;寄怀;小鹿乱撞;引发;心房;心潮澎湃;怒气攻心;意气用事;抒写;投注;撩;沉淀;涨满;激动;激愤;直男;真情;真情实意;缠绵;翻腾;胸怀;血气之勇;褪;襟;襟怀;触;触动;释放;隐忍不发;隐忍不言;雅怀
emp	电磁脉冲
empathetic	恻隐;放下身段
empathize	体恤;体惜;体谅;共情;同病相怜;神入
empathy	同理心;神入;移情
empedocles	恩培多克勒
empennage	尾翼
emperor	䶮;一朝天子一朝臣;万历;三跪九叩;上奏;上疏;上贡;丰沛;临幸;乾陵;乾隆;五帝;亲征;仓颉;代宗;令和;伏羲;何不食肉糜;佛爷;保驾;俞;元世祖;元龙;先君;先帝遗诏;先斩后奏;先皇;光绪;光绪帝;公卿;内廷;冲龄;凯彻;刑天;刘伯温;刘基;刘奭;刘恒;刘松龄;刘禅;刘裕;刘邦;升遐;卿;受命于天;受封;司马炎;同治;名讳;吕不韦;咸丰;唐中宗;唐代宗;唐僖宗;唐哀帝;唐太宗;唐太宗李卫公问对;唐宣宗;唐宪宗;唐德宗;唐懿宗;唐敬宗;唐文宗;唐明皇;唐昭宗;唐武宗;唐殇帝;唐玄宗;唐睿宗;唐穆宗;唐肃宗;唐顺宗;唐高宗;唐高祖;嘉仁;嘉定;嘉庆;四出文钱;回銮;围场;圣;圣上;圣祖;圣神;圣诞;圣躬;在位时代;坐龙庭;垂帘听政;垚;夌;多尔衮;大圣;大帝;大正;大驾;天子;天宫;天帝;天王;天皇;天顺;天高皇帝远;太上皇;太子丹;太宗;奏;奏帖;奏折;奕䜣;奕𬣞;女娃;娲;嫏嬛;嬴政;孝圣宪;宁宗;宋太祖;宋徽宗;宋武帝;官家;宠幸;宣德;宣统;宫廷;宾天;封王;封禅;封邑;尉缭;尊号;小皇帝;崇祯;崩;崩殂;巫蛊之祸;帖木儿;帖木儿大汗;帝;帝企鹅;帝俊;帝喾;帝王企鹅;帝辛;平成;年号;幸;应制;庙号;康熙;康熙字典;建文;建文帝;开元;引见;弘治;张勋;张勋复辟;待诏;御敌;御用;御赐;御驾亲征;德仁;忽必烈;恩泽;恺彻;恺撒;成化;戴克里先;承运;折奏;护国战争;护国运动;护法战争;拿破仑;拿破仑·波拿巴;文宗;断袖之癖;日本天皇;明仁;明仁宗;明天启;明太祖;明孝陵;明宣宗;明成祖;明武宗;明治;明熹宗;昭和;晋惠帝;晏驾;景泰;曹丕;曹操;朕;朝;朝天;朝见;朝觐;末代皇帝;本纪;朱允炆;朱元璋;朱厚照;朱棣;朱温;朱由校;朱瞻基;朱祁钰;朱祁镇;朱高炽;李世民;李亨;李儇;李哲;李建成;李忱;李恒;李旦;李昂;李晔;李林甫;李治;李渊;李湛;李漼;李瀍;李祝;李纯;李诵;李豫;李适;李重茂;李隆基;李靖;杨俊;杨坚;杨玉环;杨贵妃;杯酒释兵权;松赞干布;查理大帝;桀;梓童;榆罔;正仓院;正德;正朔;正统;武经七书;母后;永乐;永嘉;汉元帝;汉宣帝;汉文帝;汉文帝刘恒;汉明帝;汉武帝;汉灵帝;汉献帝;汉高祖;波拿巴;洪武;洪熙;海神;清太宗;溥仪;溥俊;炎黄子孙;焚书坑儒;燕太子丹;犯上作乱;玄武门之变;玉帝;玉皇;玉皇大帝;玉皇顶;王昭君;王者;疏;登遐;白虎观;皇;皇上;皇亲国戚;皇位;皇太极;皇太极清太宗;皇帝;皇帝不急太监急;皇恩;皇榜;皇考;真武;真龙天子;石虎;秋狝;秦;秦二世;秦代;秦始皇;秦始皇帝;秦始皇帝陵;秦始皇陵;秦陵;称帝;策论;精卫;素面朝天;紫微宫;经筵;羯鼓催花;羲;羲皇上人;胡天胡帝;至尊;舍得一身剐，敢把皇帝拉下马;舜帝陵;英宗;苻坚;荆轲;董卓;蔡锷;蚩尤;行人;表章;袁世凯;裕仁;见驾;觐;觐见;讳;诏狱;诣阙;诤臣;诸侯;谢恩;赐姓;赵匡胤;赵构;跸;车驾;轩辕;轩辕氏;转轮圣帝;转轮圣王;转轮王;载湉;进贡;逼宫;道光;道光帝;遗诏;郊祀;钦;钦犯;钦赐;阿提拉;阿斗;阿育王;陈奏;陈娇;陵寝;隋文帝;隋炀帝;集权;雍正;靖难之役;面圣;韩信;韺;项庄舞剑，意在沛公;项羽;顺治;顺治帝;颛顼;马可·奥勒留;驰道;驻跸;驾崩;骊山;高云;魏文帝;鸿门宴;黄帝;黄帝族;黄袍加身;黄陵;黎利;齐武成;龙;龙头铡
emperors	三皇五帝;临魁;乘龙;五帝;克;厘;哀;哀平;唐尧;喾;四灵;姜石年;尧;帝喾;帝王谱;康乾盛世;张廷玉;承;明;明十三陵;明实录;榆罔;炎帝;爱新觉罗;直;神农;神农氏;舜日尧天;舜日尧年;虞舜;避讳;郭子仪;锦衣卫;颛顼;高宗;高辛氏
emphases	五讲四美三热爱
emphasis	五讲四美三热爱;亲子游;侧重;侧重点;偏废;再;则个;加重语气;又;可;可是;呢;嘛;并重;的;着重;着重号;那个;都;重心;重点
emphasize	体恤入微;偏注;偏重;加重;强调;撇清;注重;讲;讲求;首重
emphasizes	便是
emphasizing	哪门子;国语;虎爪派;重农抑商
emphatic	人从众𠈌;傻爆眼;哪;宁;岂;强势;才;是;槑;火炎焱燚
emphatically	得了
emphysema	肺气肿
empire	东罗马帝国;交趾;俄罗斯帝国;倪嗣冲;倭马亚王朝;兲朝;匈奴;哈里发帝国;商鞅;外满洲;大东亚共荣圈;大厦;大清帝国;大秦;大英帝国;大韩帝国;天下大势;天朝;天禄;契丹国志;奥匈帝国;奥斯曼;奥斯曼帝国;威震天下;居鲁士大帝;帝国;帝国大厦;成吉思汗;托勒密;托勒密王;扫除天下;拉萨条约;拜占庭;故业;犁靬;神圣罗马帝国;纽约帝国大厦;罗马帝国;菻;萨拉森帝国;萨桑王朝;萨珊王朝;覆亡;鄂图曼帝国;阿契美尼德王朝;阿拔斯王朝
empirical	实证;客观世界
empiricism	实证主义;经验主义
employ	人尽其才;佣;使;使用;延请;恩威兼施;收录;甄录;甄用;用;用人;用工;用计;罗致;聘;聘用;采用;量才录用;雇;雇佣;雇用;鲁君
employable	证奴
