一	GGLL,GGL,G
封	FFFY
持	RFFY,RFF,RF
拷	RFTN,RFT
拱	RAWY,RAW
项	ADMY,ADM
垮	FDFN
挎	RDFN
城	FDNT,FDN,FD
挟	RGUW,RGU
挠	RATQ
政	GHTY,GHT
赴	FHHI,FHH
赵	FHQI,FHQ
挡	RIVG,RIV
拽	RJXT,RJX
哉	FAKD,FAK
挺	RTFP
括	RTDG,RTD
垢	FRGK,FRG,FR
拴	RWGG,RWG
拾	RWGK
挑	RIQN,RIQ
垛	FMSY,FMS
指	RXJG,RXJ
垫	RVYF
挣	RQVH
挤	RYJH,RYJ
拼	RUAH,RUA
挖	RPWN
按	RPVG,RPV
挥	RPLH,RPL
挪	RVFB,RVF
拯	RBIG,RBI
某	AFSU,AFS
甚	ADWN
荆	AGAJ,AGA
茸	ABF
革	AFJ,AF
茬	ADHF
荐	ADHB,ADH
巷	AWNB,AWN
带	GKPH,GKP
草	AJJ
茧	AJU
茵	ALDU,ALD
茶	AWSU,AWS
荒	AYNQ,AY
茫	AIYN,AIY
荡	AINR,AIN
荣	APSU,APS
荤	APLJ
荧	APOU,APO
故	DTY
胡	DEG,DE
荫	ABEF,ABE
荔	ALLL,ALL
南	FMUF,FMU,FM
药	AXQY,AXQ,AX
标	SFIY,SFI
栈	SGT
柑	SAFG,SAF
枯	SDG,SD
柄	SGMW,SGM
栋	SAIY,SAI
相	SHG,SH
查	SJGF,SJG,SJ
柏	SRG
栅	SMMG,SMM
柳	SQTB,SQT
柱	SYGG,SYG
柿	SYMH
栏	SUFG,SUF
柠	SPSH,SPS
树	SCFY,SCF
勃	FPBL,FPB
要	SVF,SV,S
柬	GLII,GLI
咸	DGKT,DGK
威	DGVT,DGV
歪	GIGH,GIG
研	DGAH,DGA
砖	DFNY
厘	DJFD
厚	DJBD,DJB
砌	DAVN,DAV
砂	DITT,DIT,DI
泵	DIU
砚	DMQN,DMQ
砍	DQWY,DQW
面	DMJD,DM
耐	DMJF
耍	DMJV
牵	DPRH,DPR
鸥	AQQG
残	GQGT,GQG
殃	GQMD,GQM
轴	LMG,LM
轻	LCAG,LCA,LC
鸦	AHTG
皆	XXRF,XXR
韭	DJDG
背	UXEF,UXE
战	HKAT,HKA
点	HKOU,HKO
虐	HAAG,HAA
临	JTYJ,JTY
览	JTYQ,JTY
竖	JCUF,JCU
省	ITHF,ITH
削	IEJH,IEJ
尝	IPFC,IPF
昧	JFIY,JFI
盹	HGBN,HGB
是	JGHU,JGH,J,P
盼	HWVN,HWV
眨	HTPY,HTP
哇	KFFG,KFF
哄	KAWY,KAW
哑	KGOG,KGO
显	JOGF,JOG,JO
冒	JHF
映	JMDY,JMD
星	JTGF,JTG
昨	JTHF,JTH,JT
咧	KGQJ,KGQ
昭	JVKG,JVK
畏	LGEU,LGE
趴	KHWY,KHW
胃	LEF,LE
贵	KHGM
界	LWJJ,LWJ
虹	JAG,JA
虾	JGHY
蚁	JYQY,JYQ
思	LNU,LN
蚂	JCG
虽	KJU,KJ
品	KKKF,KKK
咽	KLDY,KLD
骂	KKCF,KKC
勋	KMLN,KML
哗	KWXF,KWX
咱	KTHG,KTH
响	KTMK,KTM
哈	KWGK,KWG
哆	KQQY,KQQ
咬	KUQY,KUQ
咳	KYNW
咪	KOY
哪	KVFB,KVF,KV
哟	KXQY,KXQ,KX
炭	MDOU,MDO
峡	MGUW,MGU
罚	LYJJ,LYJ,LY
贱	MGT,MG
贴	MHKG
贻	MCKG,MCK
骨	MEF,ME
幽	XXMK,XXM
钙	QGHN,QGH
钝	QGBN
钞	QITT,QIT
钟	QKHH
钢	QMQY,QMQ
钠	QMWY,QMW
钥	QEG
钦	QQWY,QQW
钧	QQUG
钩	QQCY,QQC
钮	QNFG,QNF
卸	RHBH,RHB
缸	RMAG,RMA
拜	RDFH
看	RHF
矩	TDAN,TDA
毡	TFNK
氢	RNCA,RNC
怎	THFN
牲	TRTG
选	TFQP
适	TDPD,TDP
秒	TITT,TIT,TI
香	TJF
种	TKHH,TKH
秋	TOY,TO
科	TUFH,TU
重	TGJF,TGJ
复	TJTU,TJT
竿	TFJ
段	WDMC,WDM
便	WGJQ,WGJ
俩	WGMW,WGM
贷	WAMU,WAM
顺	KDMY,KDM,KD
修	WHTE,WHT
俏	WIEG,WIE
保	WKSY,WKS,WK
促	WKHY,WKH
俄	WTRT,WTR
俐	WTJH,WTJ
侮	WTXU,WTX
俭	WWGI
俗	WWWK
俘	WEBG,WEB
信	WYG,WY
皇	RGF
泉	RIU
鬼	RQCI,RQC
侵	WVPC,WVP
禹	TKMY,TKM
侯	WNTD,WNT
追	WNNP
俊	WCWT,WCW
盾	RFHD,RFH
待	TFFY
徊	TLKG,TLK
衍	TIFH,TIF
律	TVFH
很	TVEY,TVE
须	EDMY,EDM,ED
叙	WTCY,WTC
剑	WGIJ,WGI
逃	IQPV,IQP
食	WYVE,WYV
盆	WVLF,WVL
胚	EGIG,EGI
胧	EDXN,EDX
胆	EJGG,EJG,EJ
胜	ETGG,ETG
胞	EQNN,EQN
胖	EUFH,EUF
脉	EYNI
胎	ECKG,ECK,EC
勉	QKQL
狭	QTGW
狮	QTJH
独	QTJY,QTJ
狰	QTQH
狡	QTUQ,QTU
狱	QTYD
狠	QTVE,QTV
贸	QYVM,QYV
怨	QBNU,QBN
急	QVNU,QVN
饵	QNBG
饶	QNAQ,QNA
蚀	QNJY,QNJ
饺	QNUQ
饼	QNUA,QNU
峦	YOMJ,YOM
弯	YOXB,YOX
将	UQFY,UQF
奖	UQDU,UQD
哀	YEU
亭	YPSJ,YPS
亮	YPMB,YPM
度	YACI,YAC,YA
迹	YOPI,YOP
庭	YTFP
疮	UWBV,UWB
疯	UMQI,UMQ
疫	UMCI,UMC
疤	UCV
咨	UQWK
姿	UQWV
亲	USU,US
音	UJF
帝	UPMH,UPM,UP
施	YTBN,YTB
闺	UFFD
闻	UBD,UB
闽	UJI
阀	UWAE,UWA
阁	UTKD,UTK
差	UDAF,UDA
养	UDYJ
美	UGDU
姜	UGVF,UGV
叛	UDRC
送	UDPI,UDP
类	ODU,OD
迷	OPI,OP
籽	OBG,OB
娄	OVF,OV
前	UEJJ,UEJ,UE
首	UTHF,UTH
逆	UBTP,UBT
兹	UXXU,UXX
总	UKNU,UKN
炼	OANW
炸	OTHF,OTH
烁	OQIY,OQI
炮	OQNN,OQN,OQ
炫	OYXY,OYX
烂	OUFG
剃	UXHJ
洼	IFFG
洁	IFKG,IFK
洪	IAWY,IAW
洒	ISG,IS
柒	IASU,IAS
浇	IATQ,IAT
浊	IJY,IJ
洞	IMGK
测	IMJH,IMJ
洗	ITFQ,ITF
活	ITDG,ITD
派	IREY,IRE
洽	IWGK,IWG
染	IVSU,IVS
洛	ITKG,ITK
浏	IYJH,IYJ
济	IYJH,IYJ
洋	IUDH,IUD,IU
洲	IYTH,IYT
浑	IPLH,IPL
浓	IPEY,IPE
津	IVFH
恃	NFFY,NFF
恒	NGJG,NGJ
恢	NDOY,NDO
恍	NIQN,NIQ
恬	NTDG,NTD
恤	NTLG,NTL
恰	NWGK
恼	NYBH,NYB
恨	NVEY,NVE,NV
举	IWFH,IWF
觉	IPMQ
宣	PGJG,PGJ
宦	PAHH,PAH
室	PGCF,PGC
宫	PKKF,PKK,PK
宪	PTFQ,PTF
突	PWDU,PWD
穿	PWAT
窃	PWAV
客	PTKF,PTK,PT
诫	YAAH
冠	PFQF
诬	YAWW,YAW
语	YGKG,YGK
扁	YNMA
袄	PUTD,PUT
祖	PYEG,PYE
神	PYJH,PYJ
祝	PYKQ,PYK
祠	PYNK
误	YKGD,YKG
诱	YTEN,YTE
诲	YTXU,YTX
说	YUKQ,YUK,YU
诵	YCEH
垦	VEFF,VEF
退	VEPI,VEP
既	VCAQ,VCA
屋	NGCF,NGC
昼	NYJG,NYJ
屏	NUAK,NUA
屎	NOI
费	XJMU,XJM
陡	BFHY,BFH
逊	BIPI,BIP
眉	NHD
孩	BYNW,BY
陨	BKMY,BKM
除	BWTY,BWT,BW
险	BWGI,BWG
院	BPFQ,BPF,BP
娃	VFFG,VFF
姥	VFTX,VFT
姨	VGXW,VGX,VG
姻	VLDY,VLD
娇	VTDJ
姚	VIQN,VIQ
娜	VVFB,VVF
怒	VCNU,VCN
架	LKSU,LKS
贺	LKMU,LKM
盈	ECLF,ECL
勇	CELB,CEL
怠	CKNU,CKN
癸	WGDU,WGD
蚤	CYJU,CYJ
柔	CBTS
垒	CCCF
绑	XDTB,XDT
绒	XADT,XAD
结	XFKG,XFK,XF
绕	XATQ,XAT
骄	CTDJ
绘	XWFC,XWF
给	XWGK,XWG,XW
绚	XQJG,XQJ
骆	CTKG,CTK
络	XTKG,XTK
绝	XQCN,XQC
绞	XUQY,XUQ
骇	CYNW
统	XYCQ,XYC
耕	DIFJ,DIF
耘	DIFC
耗	DITN
耙	DICN,DIC
艳	DHQC,DHQ
泰	DWIU
秦	DWTU,DWT
珠	GRIY,GRI,GR
班	GYTG,GYT
素	GXIU,GXI
匿	AADK
蚕	GDJU,GDJ
顽	FQDM,FQD
盏	GLF
匪	ADJD
捞	RAPL,RAP
栽	FASI,FAS
捕	RGEY,RGE
埂	FGJQ,FGJ
捂	RGKG
振	RDFE,RDF
载	FALK,FAL,FA
赶	FHFK
起	FHNV,FHN
盐	FHLF,FHL
捎	RIEG,RIE
捍	RJFH,RJF
捏	RJFG
埋	FJFG,FJF
捉	RKHY,RKH
捆	RLSY,RLS
捐	RKEG,RKE
损	RKMY,RKM
袁	FKEU,FKE
捌	RKLJ
都	FTJB
哲	RRKF,RRK
逝	RRPK,RRP
捡	RWGI
挫	RWWF,RWW
换	RQMD,RQM,RQ
挽	RQKQ
挚	RVYR
热	RVYO
恐	AMYN
捣	RQYM
壶	FPOG,FPO
捅	RCEH,RCE
埃	FCTD,FCT
挨	RCTD,RCT
耻	BHG,BH
耿	BOY,BO
耽	BPQN,BPQ
聂	BCCU,BCC
恭	AWNU,AWN
莽	ADAJ,ADA
莱	AGOU,AGO
莲	ALPU,ALP
莫	AJDU,AJD
莉	ATJJ,ATJ
荷	AWSK
获	AQTD,AQT,AQ
晋	GOGJ
恶	GOGN
莹	APGY
莺	APQG,APQ
真	FHWU,FHW
框	SAGG
梆	SDTB,SDT
桂	SFFG,SFF
桔	SFKG,SFK
栖	SSG
档	SIVG,SIV,SI
桐	SMGK
株	SRIY,SRI
桥	STDJ,STD
桦	SWXF,SWX
栓	SWGG,SWG
桃	SIQN,SIQ
格	STKG,STK,ST
桩	SYFG,SYF
校	SUQY,SUQ
核	SYNW
样	SUDH,SUD,SU
根	SVEY,SVE
索	FPXI,FPX
哥	SKSK,SKS
速	GKIP
逗	GKUP
栗	SSU
贾	SMU
酌	SGQY,SGQ
配	SGNN,SGN
翅	FCND,FCN
辱	DFEF
唇	DFEK
夏	DHTU,DHT
砸	DAMH
砰	DGUH,DGU
砾	DQIY,DQI
础	DBMH,DBM
破	DHCY,DHC
原	DRII,DRI,DR
套	DDU
逐	EPI
烈	GQJO
殊	GQRI,GQR
殉	GQQJ,GQQ
顾	DBDM,DBD,DB
轿	LTDJ,LTD
较	LUQY,LUQ,LU
顿	GBNM
毙	XXGX
致	GCFT
柴	HXSU,HXS
桌	HJSU,HJS
虑	HANI,HAN
监	JTYL
紧	JCXI,JCX,JC
党	IPKQ,IPK
逞	KGPD,KGP
晒	JSG
眠	HNAN,HNA
晓	JATQ,JAT
哮	KFTB,KFT
唠	KAPL,KAP
鸭	LQYG,LQY
晃	JIQB,JIQ,JI
哺	KGEY,KGE
晌	JTMK,JTM
剔	JQRJ
晕	JPLJ,JPL,JP
蚌	JDHH,JDH
畔	LUFH,LUF
蚣	JWCY,JWC
蚊	JYY
蚪	JUFH
蚓	JXHH,JXH
哨	KIEG,KIE
哩	KJFG,KJF
圃	LGEY,LGE
哭	KKDU
哦	KTRT,KTR
恩	LDNU,LDN
鸯	MDQG,MDQ
唤	KQMD,KQM
唁	KYG
哼	KYBH,KYB
唧	KVCB
啊	KBSK,KBS,KB
唉	KCTD,KCT
唆	KCWT,KCW
罢	LFCU,LFC
峭	MIEG,MIE,MI
峨	MTRT,MTR
峰	MTDH,MTD
圆	LKMI
峻	MCWT,MCW
贼	MADT
贿	MDEG,MDE
赂	MTKG,MTK
赃	MYFG,MYF
钱	QGT,QG
钳	QAFG,QAF
钻	QHKG,QHK
钾	QLH
铁	QRWY,QRW,QR
铃	QWYC
铅	QMKG,QMK
缺	RMNW,RMN
氧	RNUD,RNU
氨	RNPV,RNP
特	TRFF,TRF
牺	TRSG,TRS
造	TFKP
乘	TUXV,TUX
敌	TDTY,TDT
秤	TGUH,TGU
租	TEGG,TEG
积	TKWY,TKW
秧	TMDY
秩	TRWY,TRW
称	TQIY,TQI,TQ
秘	TNTT,TNT,TN
透	TEPV,TEP
笔	TTFN,TTF,TT
笑	TTDU,TTD
笋	TVTR,TVT
债	WGMY
借	WAJG,WAJ
值	WFHG
倚	WDSK,WDS
俺	WDJN
倾	WXDM,WXD
倒	WGCJ,WGC
倘	WIMK,WIM
俱	WHWY,WHW
倡	WJJG
候	WHND,WHN
赁	WTFM,WTF
俯	WYWF,WYW
倍	WUKG,WUK
倦	WUDB,WUD
健	WVFP,WVF
臭	THDU
射	TMDF
躬	TMDX
息	THNU,THN
倔	WNBM,WNB
徒	TFHY
徐	TWTY,TWT
殷	RVNC,RVN
舰	TEMQ
舱	TEWB,TEW
般	TEMC,TEM
航	TEYM,TEY
途	WTPI,WTP
拿	WGKR
耸	WWBF,WWB
爹	WQQQ
舀	EVF
爱	EPDC,EPD,EP
豺	EEFT,EEF
豹	EEQY
颁	WVDM,WVD
颂	WCDM,WCD
翁	WCNF,WCN
胰	EGXW,EGX
脆	EQDB,EQD
脂	EXJG,EXJ,EX
胸	EQQB,EQQ,EQ
胳	ETKG,ETK
脏	EYFG,EYF
脐	EYJH,EYJ
胶	EUQY,EUQ,EU
脑	EYBH,EYB
脓	EPEY,EPE
逛	QTGP
狸	QTJF
狼	QTYE,QTY
卿	QTVB
逢	TDHP,TDH
鸵	QYNX
留	QYVL
鸳	QBQG,QBQ
皱	QVHC
饿	QNTT,QNT
馁	QNEV,QNE
凌	UFWT,UFW
凄	UGVV
恋	YONU,YON
桨	UQSU,UQS
浆	UQIU,UQI
衰	YKGE
衷	YKHE
高	YMKF,YMK,YM
郭	YBBH,YBB
席	YAMH,YAM
准	UWYG,UWY
座	YWWF,YWW
症	UGHD,UGH
病	UGMW,UGM
疾	UTDI,UTD
斋	YDMJ,YDM
疹	UWEE,UWE
疼	UTUI,UTU
疲	UHCI,UHC
脊	IWEF,IWE
效	UQTY,UQT
离	YBMC,YBM,YB
紊	YXIU
唐	YVHK,YVH
瓷	UQWN
资	UQWM
凉	UYIY
站	UHKG,UH
剖	UKJH,UKJ
竞	UKQB,UKQ
部	UKBH,UKB,UK
旁	UPYB,UPY
旅	YTEY
畜	YXLF,YXL
阅	UUKQ,UUK
羞	UDNF,UDN
羔	UGOU,UGO
瓶	UAGN,UAG
拳	UDRJ,UDR
粉	OWVN,OWV,OW
料	OUFH,OUF,OU
益	UWLF,UWL
兼	UVOU,UVO
烤	OFTN,OFT
烘	OAWY,OAW
烦	ODMY,ODM
烧	OATQ,OAT
烛	OJY,OJ
烟	OLDY,OLD,OL
烙	OTKG,OTK
递	UXHP
涛	IDTF,IDT
浙	IRRH,IRR
涝	IAPL,IAP
浦	IGEY
酒	ISGG
涉	IHIT,IHI
消	IIEG,IIE
涡	IKMW,IKM
浩	ITFK
海	ITXU,ITX
涂	IWTY,IWT
浴	IWWK,IWW
浮	IEBG,IEB
涣	IQMD,IQM
涤	ITSY,ITS
流	IYCQ,IYC
润	IUGG
涧	IUJG
涕	IUXT
浪	IYVE,IYV
浸	IVPC,IVP
涨	IXTY,IXT,IX
烫	INRO
涩	IVYH,IVY
涌	ICEH,ICE
悖	NFPB
悟	NGKG
悄	NIEG,NIE,NI
悍	NJFH,NJF
悔	NTXU,NTX
悯	NUYY,NUY
悦	NUKQ,NUK
害	PDHK,PDH,PD
宽	PAMQ,PAM,PA
家	PEU,PE
宵	PIEF,PIE,PI
宴	PJVF,PJV
宾	PRGW,PRG,PR
窍	PWAN
窄	PWTF
容	PWWK,PWW
宰	PUJ
案	PVSU,PVS
请	YGEG,YGE
朗	YVCE,YVC
诸	YFTJ,YFT
诺	YADK,YAD
读	YFND,YFN
扇	YNND
诽	YDJD,YDJ
袜	PUGS,PUG
袖	PUMG,PUM
袍	PUQN,PUQ
被	PUHC
祥	PYUD,PYU
课	YJSY,YJS
冥	PJUU,PJU
谁	YWYG
调	YMFK,YMF
冤	PQKY,PQK
谅	YYIY,YYI
谆	YYBG
谈	YOOY,YOO
谊	YPEG,YPE
剥	VIJH
恳	VENU
展	NAEI,NAE
剧	NDJH,NDJ
屑	NIED
弱	XUXU,XUX,XU
陵	BFWT,BFW
祟	BMFI,BMF
陶	BQRM,BQR
陷	BQVG,BQV
陪	BUKG,BUK,BU
娱	VKGD
娟	VKEG,VKE
恕	VKNU,VKN
娥	VTRT,VTR
娘	VYVE,VYV
通	CEPK,CEP
能	CEXX,CEX,CE
难	CWYG,CWY,CW
预	CBDM,CBD
桑	CCCS
绢	XKEG,XKE
绣	XTEN
验	CWGI,CWG
继	XONN,XON,XO
骏	CCWT,CCW
球	GFIY,GFI
琐	GIMY,GIM
理	GJFG,GJF,GJ
琉	GYCQ,GYC
琅	GYVE,GYV
捧	RDWH,RDW
堵	FFTJ,FFT
措	RAJG,RAJ
描	RALG,RAL
域	FAKG
捺	RDFI
掩	RDJN
捷	RGVH,RGV
排	RDJD,RDJ
焉	GHGO,GHG
掉	RHJH,RHJ
捶	RTGF
赦	FOTY,FOT
堆	FWYG,FWY
推	RWYG
埠	FWNF,FWN
掀	RRQW,RRQ
授	REPC,REP
捻	RWYN
教	FTBT
掏	RQRM,RQR
掐	RQVG,RQV
掠	RYIY
掂	RYHK,RYH
培	FUKG,FUK
接	RUVG,RUV
掷	RUDB
控	RPWA,RPW
探	RPWS
据	RNDG,RND
掘	RNBM
掺	RCDE,RCD
职	BKWY,BKW,BK
基	ADWF,AD
聆	BWYC
勘	ADWL
聊	BQTB,BQT,BQ
娶	BCVF,BCV
著	AFTJ,AFT
菱	AFWT
勒	AFLN,AFL
黄	AMWU,AMW
菲	ADJD,ADJ
萌	AJEF,AJE
萝	ALQU,ALQ
菌	ALTU,ALT
萎	ATVF,ATV
菜	AESU,AES,AE
萄	AQRM,AQR
菊	AQOU,AQO
菩	AUKF,AUK
萍	AIGH
菠	AIHC,AIH
萤	APJU,APJ
营	APKK,APK,AP
乾	FJTN,FJT
萧	AVIJ,AVI,AV
萨	ABUT,ABU
菇	AVDF,AVD
械	SAAH,SAA,SA
彬	SSET,SSE
梦	SSQU,SSQ
婪	SSVF,SSV
梗	SGJQ
梧	SGKG,SGK
梢	SIEG,SIE
梅	STXU,STX
检	SWGI,SW
梳	SYCQ,SYC
梯	SUXT,SUX
桶	SCEH,SCE
梭	SCWT,SCW
救	FIYT
曹	GMAJ,GMA
副	GKLJ,GKL
票	SFIU
酝	SGFC,SGF
酗	SGQB
厢	DSHD,DSH
戚	DHIT,DHI
硅	DFFG,DFF
硕	DDMY,DDM
奢	DFTJ,DFT
盔	DOLF,DOL
爽	DQQQ,DQQ
聋	DXBF,DXB
袭	DXYE,DXY
盛	DNNL
匾	AYNA
雪	FVF,FV
辅	LGEY
辆	LGMW,LGM
颅	HNDM
虚	HAOG,HAO
彪	HAME
雀	IWYF,IWY
堂	IPKF
常	IPKH
眶	HAGG,HAG
匙	JGHX
晨	JDFE,JDF,JD
睁	HQVH,HQV
眯	HOY,HO
眼	HVEY,HVE,HV
悬	EGCN
野	JFCB,JFC
啪	KRRG,KRR
啦	KRUG,KRU
曼	JLCU,JLC
晦	JTXU,JTX
晚	JQKQ,JQK,JQ
啄	KEYY
啡	KDJD,KDJ
距	KHAN,KHA
趾	KHHG,KHH
啃	KHEG,KHE
跃	KHTD
略	LTKG,LTK
蚯	JRGG
蛀	JYGG,JYG
蛇	JPXN,JPX
唬	KHAM
累	LXIU,LXI,LX
鄂	KKFB
唱	KJJG,KJJ
患	KKHN
啰	KLQY
唾	KTGF,KTG
唯	KWYG
啤	KRTF,KRT
啥	KWFK
啸	KVIJ,KVI
崖	MDFF
崎	MDSK,MDS
崭	MLRJ,MLR,ML
逻	LQPI,LQP
崔	MWYF,MWY
帷	MHWY,MHW
崩	MEEF,MEE
崇	MPFI,MPF
崛	MNBM
婴	MMVF,MMV
圈	LUDB,LUD,LU
铐	QFTN
铛	QIVG,QIV
铝	QKKG,QKK
铜	QMGK
铭	QQKG,QQK
铲	QUTT,QUT
银	QVEY,QVE
矫	TDTJ
甜	TDAF
秸	TFKG
梨	TJSU,TJS
犁	TJRH,TJR
秽	TMQY,TMQ
移	TQQY,TQQ
笨	TSGF,TSG
笼	TDXB,TDX
笛	TMF
笙	TTGF
符	TWFU,TWF
第	TXHT,TXH,TX
敏	TXGT
做	WDTY,WDT
袋	WAYE
悠	WHTN
偿	WIPC,WIP,WI
偶	WJMY,WJM
偎	WLGE
偷	WWGJ
您	WQIN
售	WYKF,WYK
停	WYPS,WYP
偏	WYNA
躯	TMDQ
兜	QRNQ
假	WNHC,WNH
衅	TLUF,TLU
徘	TDJD
徙	THHY,THH
得	TJGF,TJG,TJ
衔	TQFH,TQF
盘	TELF,TEL
舶	TERG,TER
船	TEMK
舵	TEPX
斜	WTUF
盒	WGKL
鸽	WGKG
敛	WGIT
悉	TONU,TON
欲	WWKW
彩	ESET,ESE
领	WYCM
脚	EFCB
脖	EFPB,EFP
脯	EGEY,EGE
豚	EEY
脸	EWGI,EWG,EW
脱	EUKQ,EUK
象	QJEU,QJE
够	QKQQ
逸	QKQP
猜	QTGE
猪	QTFJ
猎	QTAJ,QTA
猫	QTAL
凰	MRGD,MRG
猖	QTJJ
猛	QTBL
祭	WFIU,WFI
馅	QNQV
馆	QNPN,QNP
凑	UDWD,UDW
减	UDGT,UDG
毫	YPTN,YPT
烹	YBOU,YBO
庶	YAOI,YAO
麻	YSSI,YSS
庵	YDJN
痊	UWGD,UWG
痒	UUDK,UUD
痕	UVEI,UVE
廊	YYVB,YYV
康	YVII,YVI
庸	YVEH
鹿	YNJX,YNJ
盗	UQWL
章	UJJ
竟	UJQB,UJQ
商	UMWK,UMW,UM
族	YTTD,YTT
旋	YTNH,YTN
望	YNEG
率	YXIF,YXI,YX
阎	UQVD
阐	UUJF,UUJ
着	UDHF,UDH
羚	UDWC
盖	UGLF,UGL
眷	UDHF
粘	OHKG,OHK,OH
粗	OEGG,OEG,OE
粒	OUG
断	ONRH,ONR,ON
剪	UEJV
兽	ULGK,ULG
焊	OJFH,OJF
焕	OQMD,OQM
清	IGEG,IGE
添	IGDN,IGD
鸿	IAQG
淋	ISSY,ISS
涯	IDFF,IDF
淹	IDJN,IDJ
渠	IANS
渐	ILRH,ILR,IL
淑	IHIC
淌	IIMK,IIM
混	IJXX,IJX
淮	IWYG,IWY
淆	IQDE,IQD
渊	ITOH,ITO
淫	IETF,IET
渔	IQGG
淘	IQRM,IQR
淳	IYBG,IYB
液	IYWY,IYW
淤	IYWU
淡	IOOY,IOO,IO
淀	IPGH
深	IPWS,IPW
涮	INMJ,INM
涵	IBIB,IBI
婆	IHCV
梁	IVWS,IVW
渗	ICDE,ICD
情	NGEG,NGE
惜	NAJG
惭	NLRH,NLR,NL
悼	NHJH
惧	NHWY,NHW
惕	NJQR,NJQ
惟	NWYG,NWY
惊	NYIY
惦	NYHK,NYH
悴	NYWF,NYW
惋	NPQB
惨	NCDE,NCD
惯	NXFM,NXF
寇	PFQC
寅	PGMW,PGM
寄	PDSK,PDS
寂	PHIC,PHI,PH
宿	PWDJ
窒	PWGF,PWG
窑	PWRM,PWR
密	PNTM,PNT
谋	YAFS,YAF
谍	YANS,YAN
谎	YAYQ,YAY
谐	YXXR
袱	PUWD
祷	PYDF,PYD
祸	PYKW
谓	YLEG,YLE
谚	YUTE,YUT
谜	YOPY
逮	VIPI,VIP
敢	NBTY,NBT,NB
尉	NFIF
屠	NFTJ,NFT
弹	XUJF,XUJ
隋	BDAE,BDA
堕	BDEF
随	BDEP,BDE
蛋	NHJU,NHJ
隅	BJMY,BJM
隆	BTGG,BTG,BT
隐	BQVN,BQ
婚	VQAJ,VQA,VQ
婶	VPJH,VPJ
婉	VPQB,VPQ
颇	HCDM,HCD
颈	CADM,CAD
绩	XGMY,XGM
绪	XFTJ,XFT
续	XFND,XFN
骑	CDSK,CDS
绰	XHJH,XHJ
绳	XKJN
维	XWYG,XWY
绵	XRMH,XRM,XR
绷	XEEG,XEE
绸	XMFK,XMF
综	XPFI,XPF,XP
绽	XPGH,XPG
绿	XVIY,XVI,XV
缀	XCCC,XCC
巢	VJSU,VJS
琴	GGWN,GGW
琳	GSSY,GSS
琢	GEYY,GEY
琼	GYIY
斑	GYGG,GYG
替	FWFJ,FWF
揍	RDWD
款	FFIW,FFI
堪	FADN,FAD
塔	FAWK
搭	RAWK
堰	FAJV
揩	RXXR
越	FHAT,FHA
趁	FHWE
趋	FHQV
超	FHVK,FHV
揽	RJTQ,RJT
堤	FJGH
提	RJGH,RJ
博	FGEF,FGE
揭	RJQN,RJQ
喜	FKUK,FKU
彭	FKUE
揣	RMDJ,RMD
插	RTFV,RTF
揪	RTOY,RTO
搜	RVHC,RVH
煮	FTJO
援	REFC,REF
搀	RQKU
裁	FAYE,FAY
搁	RUTK,RUT
搓	RUDA,RUD
搂	ROVG,ROV,RO
搅	RIPQ
壹	FPGU,FPG
握	RNGF,RNG
搔	RCYJ
揉	RCBS
斯	ADWR
期	ADWE
欺	ADWW
联	BUDY,BUD,BU
葫	ADEF
散	AETY,AET
惹	ADKN
葬	AGQA,AGQ
募	AJDL
葛	AJQN,AJQ
董	ATGF,ATG
葡	AQGY,AQG
敬	AQKT,AQK
葱	AQRN
蒋	AUQF,AUQ,AU
蒂	AUPH,AUP
落	AITK,AIT
韩	FJFH
朝	FJEG,FJE
辜	DUJ
葵	AWGD,AWG
棒	SDWH,SDW
棱	SFWT,SFW
棋	SADW,SAD
椰	SBBH,SBB
植	SFHG
森	SSSU,SSS
焚	SSOU,SSO
椅	SDSK,SDS
椒	SHIC,SHI
棵	SJSY,SJS
棍	SJXX,SJX
椎	SWYG,SWY
棉	SRMH,SRM
棚	SEEG,SEE
棕	SPFI,SPF,SP
棺	SPNN,SPN
榔	SYVB,SYV
椭	SBDE,SBD
惠	GJHN,GJH
惑	AKGN,AK
逼	GKLP
粟	SOU
棘	GMII
酣	SGAF
酥	SGTY
厨	DGKF
厦	DDHT,DDH
硬	DGJQ,DGJ
硝	DIEG,DIE
确	DQEH,DQE
硫	DYCQ,DYC
雁	DWWY,DWW
殖	GQFH,GQF
裂	GQJE
雄	DCWY,DCW
颊	GUWM
雳	FDLB
暂	LRJF,LRJ,LR
雅	AHTY
翘	ATGN
辈	DJDL
悲	DJDN
紫	HXXI,HXX
凿	OGUB,OGU
辉	IQPL
敞	IMKT
棠	IPKS
赏	IPKM
掌	IPKR
晴	JGEG,JGE
睐	HGOY,HGO
暑	JFTJ,JFT
最	JBCU,JBC,JB
晰	JSRH,JSR
量	JGJF,JGJ,JG
鼎	HNDN,HND
喷	KFAM,KFA
喳	KSJG,KSJ
晶	JJJF,JJJ
喇	KGKJ,KGK
遇	JMHP,JM
喊	KDGT
遏	JQWP
晾	JYIY
景	JYIU,JYI,JY
畴	LDTF,LDT
践	KHGT,KHG
跋	KHDC
跌	KHRW,KHR
跑	KHQN,KHQ
跛	KHHC
遗	KHGP
蛙	JFFG,JFF
蛛	JRIY,JRI
蜓	JTFP
蜒	JTHP
